epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,8443.35,1.16169,0.71432,0.93988,0.80349,0.72926,0.78581,0.5668,1.13561,0.69926,0.96144,0.000481144,0.000481144,0.000481144
69,8574.28,1.1651,0.70347,0.92725,0.79486,0.73419,0.78182,0.55445,1.14038,0.69612,0.96214,0.000466997,0.000466997,0.000466997
70,8691.87,1.17313,0.71009,0.94059,0.81768,0.75583,0.78501,0.56275,1.12692,0.6999,0.95863,0.00045285,0.00045285,0.00045285
71,8813.74,1.17715,0.70197,0.93228,0.79712,0.7462,0.7817,0.56729,1.13895,0.70488,0.96265,0.000438703,0.000438703,0.000438703
72,8942.8,1.17742,0.68987,0.92755,0.83499,0.73685,0.78357,0.57113,1.12711,0.69782,0.95935,0.000424556,0.000424556,0.000424556
73,9076.92,1.15902,0.6849,0.92632,0.83426,0.73372,0.78222,0.5664,1.14281,0.70287,0.9623,0.000410409,0.000410409,0.000410409
74,9195.83,1.14315,0.68844,0.92911,0.7718,0.7357,0.78281,0.56315,1.13002,0.70249,0.95975,0.000396262,0.000396262,0.000396262
75,9318.54,1.13882,0.69513,0.93053,0.81184,0.74135,0.78292,0.56377,1.12834,0.69874,0.96109,0.000382115,0.000382115,0.000382115
76,9429.13,1.15878,0.69433,0.93469,0.82751,0.73421,0.78394,0.56564,1.13425,0.69712,0.96051,0.000367967,0.000367967,0.000367967
77,9553.98,1.12813,0.68644,0.92189,0.80539,0.72176,0.77998,0.56637,1.13302,0.70363,0.95912,0.00035382,0.00035382,0.00035382
78,9667.66,1.13625,0.67837,0.92502,0.79675,0.75022,0.78748,0.57253,1.11947,0.69959,0.95936,0.000339673,0.000339673,0.000339673
79,9784.62,1.13956,0.67207,0.91692,0.84586,0.72647,0.79086,0.57428,1.12655,0.69249,0.96074,0.000325526,0.000325526,0.000325526
80,9897.69,1.13338,0.67794,0.91844,0.86819,0.73114,0.79269,0.57726,1.11809,0.68605,0.95843,0.000311379,0.000311379,0.000311379
81,10013.5,1.15028,0.66863,0.92627,0.83801,0.73185,0.79341,0.57814,1.11852,0.68333,0.95884,0.000297232,0.000297232,0.000297232
82,10132.7,1.1432,0.67933,0.92034,0.82718,0.74768,0.79738,0.57697,1.12237,0.6876,0.95958,0.000283085,0.000283085,0.000283085
83,10248,1.12333,0.69065,0.93297,0.82107,0.75021,0.79464,0.57019,1.12358,0.68274,0.96008,0.000268938,0.000268938,0.000268938
84,10367.7,1.14103,0.6599,0.93375,0.817,0.73914,0.79637,0.57434,1.1118,0.67656,0.95724,0.000254791,0.000254791,0.000254791
85,10493.6,1.13962,0.66716,0.91831,0.81341,0.75925,0.79574,0.57641,1.11576,0.67989,0.95652,0.000240644,0.000240644,0.000240644
86,10613.9,1.13658,0.68208,0.93619,0.80506,0.76471,0.79428,0.57772,1.12072,0.68347,0.95796,0.000226497,0.000226497,0.000226497
87,10734.9,1.13774,0.66561,0.92191,0.87771,0.72279,0.79433,0.57853,1.12293,0.68597,0.95802,0.000212349,0.000212349,0.000212349
88,10854.5,1.1298,0.67753,0.92335,0.77784,0.76506,0.79365,0.5782,1.12129,0.69105,0.95848,0.000198202,0.000198202,0.000198202
89,10974.1,1.12642,0.66331,0.92494,0.79802,0.74504,0.79609,0.58119,1.11814,0.68887,0.95727,0.000184055,0.000184055,0.000184055
90,11093.8,1.11583,0.67065,0.92411,0.82611,0.75305,0.79832,0.58225,1.11428,0.68687,0.95681,0.000169908,0.000169908,0.000169908
91,11198.1,1.13274,0.72102,0.93212,0.83058,0.75949,0.80007,0.58198,1.11661,0.68067,0.95732,0.000155761,0.000155761,0.000155761
92,11301,1.11616,0.69258,0.93209,0.8553,0.73863,0.79643,0.57428,1.14764,0.68458,0.9626,0.000141614,0.000141614,0.000141614
93,11407.5,1.14417,0.70256,0.92885,0.85829,0.7353,0.79592,0.57335,1.13979,0.68996,0.96388,0.000127467,0.000127467,0.000127467
94,11515.9,1.11734,0.69357,0.93449,0.82738,0.74851,0.79163,0.57221,1.12399,0.69173,0.96165,0.00011332,0.00011332,0.00011332
95,11621.6,1.13201,0.69167,0.93592,0.8333,0.75306,0.7861,0.56491,1.14048,0.7006,0.96344,9.91726e-05,9.91726e-05,9.91726e-05
96,11729.9,1.13461,0.66682,0.92202,0.82195,0.755,0.78709,0.5643,1.14518,0.70171,0.96324,8.50255e-05,8.50255e-05,8.50255e-05
97,11841.3,1.1182,0.67598,0.92094,0.83012,0.746,0.78609,0.56662,1.13284,0.70097,0.96133,7.08784e-05,7.08784e-05,7.08784e-05
98,11952.9,1.10416,0.65724,0.93135,0.83351,0.73814,0.78714,0.56924,1.12434,0.69129,0.96008,5.67313e-05,5.67313e-05,5.67313e-05
99,12074.2,1.10358,0.65367,0.92288,0.82458,0.72833,0.78859,0.5702,1.12579,0.69052,0.95949,4.25842e-05,4.25842e-05,4.25842e-05
100,12193.6,1.12568,0.66782,0.91137,0.80898,0.74551,0.78927,0.56986,1.12838,0.68759,0.95983,2.84371e-05,2.84371e-05,2.84371e-05
